
campaigncutscene_tooltip 				(Κάνε κλικ για να ξεκινήσει το επόμενο κεφάλαιο της ιστορίας)
adviser_food_donintro3				 	Τα καλά νέα είναι ότι το Αναρρωτήριό μας λειτουργεί ακόμα. Προσέλαβε δυο γιατρούς για να φροντίσουν τον Δον Παλέρμο, όσο εμείς θα τακτοποιούμε αυτό το χάλι.

adviser_food_afterfire3                 Πρέπει να συμμαζέψουμε αυτό το χάλι.
adviser_food_afterfire4                 Χρησιμοποίησε το εργαλείο Μπουλντόζα για να κατεδαφίσεις την κατεστραμμένη καντίνα και το μαγειρείο. Πρέπει να απομακρύνεις όλα τα χαλάσματα.  
adviser_food_afterfire6                 Όρισε μια ζώνη Σκουπιδιών δίπλα στον δρόμο. Οι εργάτες μας θα πετάξουν τα μπάζα εκεί, ώστε να τα παραλάβουν τα απορριμματοφόρα.
adviser_food_dismissfiremen1			Τέλος, μπορείς να στείλεις τους πυροσβέστες πίσω, τώρα που τελείωσαν το έργο τους.
adviser_food_gamespeed                  Η κατεδάφιση αυτών των κτιρίων ίσως πάρει αρκετή ώρα. Μπορείς να κάνεις τον χρόνο να περάσει γρηγορότερα, χρησιμοποιώντας τα κουμπιά κάτω από το ρολόι.

adviser_food_todolist1					Πρόσθεσα περισσότερες λεπτομέρειες για καθέναν από αυτούς τους στόχους στη λίστα υποχρεώσεών σου.
adviser_food_todolist2					Αν οποιαδήποτε στιγμή έχεις αμφιβολίες για το τι πρέπει να κάνεις, φέρε τον δρομέα πάνω στον στόχο και θα δεις επιπλέον οδηγίες.

objective_food_buildmedicalward_doctors Προσέλαβε μερικούς γιατρούς για να επανδρώσουν το Αναρρωτήριο

objective_food_DismissAllFiremen		Αποδέσμευσε τους πυροσβέστες
objective_food_cleararea                Απομάκρυνε τα καμένα χαλάσματα  
objective_food_buildgarbagearea         Όρισε μια ζώνη Σκουπιδιών
objective_food_clearcanteen             Απομάκρυνε τα χαλάσματα της καντίνας
objective_food_clearkitchen             Απομάκρυνε τα χαλάσματα του μαγειρείου
objective_food_hiremoreworkmen			(ΠΡΟΑΙΡΕΤΙΚΟ) Προσέλαβε περισσότερους εργάτες για να επιταχύνεις την κατεδάφιση

objective_food_dismissallfiremen_description 	Για να διώξεις ένα μέλος των υπηρεσιών Επειγόντων, εντόπισε το εικονίδιό του στη δεξιά πλευρά της οθόνης και κάνε κλικ στο κόκκινο κυκλικό κουμπί X.
objective_food_cleararea_description 	Χρησιμοποίησε το εργαλείο Μπουλντόζας για να κατεδαφίσεις κτίρια. Μπορείς να βρεις το εργαλείο Μπουλντόζας στην κατηγορία «Θεμέλια» της κεντρικής γραμμής εργαλείων.

adviser_food_familyvisit1				Μπράβο.
adviser_food_familyvisit2 				Ας δούμε τι συνέβη με την απώλειά μας.

adviser_food_troublesoon1				Αν μείνουν χωρίς φαγητό, αυτοί οι κρατούμενοι θα καταλήξουν να ξηλώσουν τους τοίχους μέσα σε λίγες μέρες.
adviser_food_troublesoon2 				Πρέπει να ασφαλίσουμε τη φυλακή, πριν έρθουμε αντιμέτωποι με μια εξέγερση.  
adviser_food_troublesoon3 				Αυτή είναι η οθόνη Τοποθέτησης. Από εδώ μπορείς να ελέγχεις την τακτική τοποθέτηση όλων των φυλάκων σου.
adviser_food_troublesoon4 				Τοποθέτησε διάσπαρτα φύλακες σε όλες τις πτέρυγες κράτησης και τα δωμάτια. Βάλε 10 φύλακες σε πόστα σε όλη τη φυλακή. Για την ώρα πρέπει να είναι αρκετό αυτό ως επίδειξη δύναμης.
adviser_food_troublesoon5				Θέλω επίσης μια περιπολία στο εσωτερικό προαύλιο, όπου θα χτίσουμε τις νέες εγκαταστάσεις.  
adviser_food_troublesoon6				Και κάτι τελευταίο. Όσο η καντίνα ήταν εκτός δράσης, μερικά κιβώτια τροφίμων χάλασαν. Πέταξέ τα πριν μολύνουν τα πάντα.

objective_food_deployguards				Τοποθέτησε 10 φύλακες σε όλη τη φυλακή
objective_food_deploypatrol				Ανάθεσε σε 2 φύλακες την περιπολία του εσωτερικού προαυλίου  

objective_food_deployguards_description		Για να τοποθετήσεις φύλακες, άνοιξε την οθόνη Τοποθέτησης και κάνε κλικ μέσα σε έναν τομέα, για να δημιουργήσεις ένα Πόστο. Ένας φύλακας θα τοποθετηθεί αυτόματα σε αυτό το πόστο.
objective_food_deploypatrol_description		Άνοιξε την οθόνη Τοποθέτησης και διάλεξε τις Περιπολίες. Κάνε κλικ και σύρε για να σχεδιάσεις τις διαδρομές των περιπολιών σου.\n\nΓια να αναθέσεις μια περιπολία σε φύλακες, κάνε κλικ ξανά σε οποιοδήποτε τετράγωνο της περιπολίας.

objective_food_dumpfood 				Ξεφορτώσου τα χαλασμένα τρόφιμα
objective_food_dumpfood_description		Μπορείς να βρεις τα χαλασμένα τρόφιμα στον χώρο Αποθήκευσης, στο βορειοανατολικό τμήμα της φυλακής.\n\nΓια να πετάξεις οποιοδήποτε αντικείμενο, κάνε κλικ πάνω οτουκαι μετά κάνε κλικ στο «Απόρριψη» στο αναδυόμενο μενού.

adviser_food_doncantspeak1				....
adviser_food_doncantspeak2				Αααγκ... Εεχ...

adviser_food_doninfirmary0              Νομίζω ότι προσπαθεί να πει κάτι.
adviser_food_doninfirmary1				Ποιος μου το 'κανε αυτό; Ποια από σας τις καβλοψεκασμένες κωλοκουνίστρες του κερατά το έκανε;
adviser_food_doninfirmary2 				Κανείς δεν σ' το 'κανε, Δον. Ατύχημα ήταν.
adviser_food_doninfirmary3 				Κλείσε το βρομόστομά σου και ανοίξτε και οι δυο τ' αυτιά σας.  
adviser_food_doninfirmary4 				Αν ήξερα ποιο από σας τα μαλακισμένα έβαλε τη φωτιά, θα τον έπνιγα σαν το κουνέλι!
adviser_food_doninfirmary5 				Μα τέρμα, εγώ ξόφλησα. Θα αφήσω την τελευταία μου ανάσα σ' αυτό το κωλοκρέβατο.
adviser_food_doninfirmary6 				Και η οικογενειακή επιχείρηση πρέπει να συνεχίσει. Το όνομα Παλέρμο είναι το μόνο που μας έχει απομείνει. Γι' αυτό κάντε το σωστό, άχρηστα σκατόπαιδα.
adviser_food_doninfirmary7				Ξέρουμε τι πρέπει να κάνουμε, μπαμπά.
adviser_food_donchat13					Δεν τελειώσαμε ακόμα, Νίκο.
adviser_food_donchat14					Κοίτα να φυλάς τα νώτα σου...

adviser_food_founddrugs1				Δεν θα πιστέψεις τι μου είπαν μόλις τώρα.  
adviser_food_founddrugs2				Οι δικοί μας πετούσαν μερικά απ' τα παλιά τρόφιμα και ανακάλυψαν κούτες ναρκωτικών και μπουκάλες με ποτά, κρυμμένες στα κιβώτια.
adviser_food_founddrugs3				Υποπτευόμασταν εδώ και καιρό ότι η οικογένεια Παλέρμο περνούσε παράνομα εμπορεύματα μέσα στο ίδρυμα, αλλά δεν είχαμε καταφέρει ποτέ να καταλάβουμε το πώς.
adviser_food_founddrugs4 				Μερικές μέρες πραγματικά μάς έρχονται όλα μαζεμένα.

adviser_food_rebuild1                   Έχουμε ακόμα πολλή δουλειά να κάνουμε. Πρέπει στρέψουμε την προσοχή μας στην αντικατάσταση του μαγειρείου και της καντίνας.
adviser_food_rebuild2                   Καταρχάς πρέπει να ξαναχτίσουμε το μαγειρείο. Θα πρέπει να εγκαταστήσεις διάφορα είδη εξοπλισμού και να προσλάβεις μερικούς μάγειρες.
adviser_food_rebuild3					Αφού γίνει αυτό, ολοκλήρωσε το νέο μαγειρείο.
adviser_food_rebuild4					Αφού τα κάνεις όλα αυτά, οι μάγειρες θα αρχίσουν να ετοιμάζουν γεύματα για ολόκληρη τη φυλακή.
adviser_food_rebuild5                   Αν έχεις οποιαδήποτε στιγμή αμφιβολίες για το τι πρέπει να κάνεις, δοκίμασε να φέρεις τον δρομέα πάνω στον στόχο, στη λίστα υποχρεώσεων, και θα δεις μερικές συμβουλές.

adviser_food_fightoutro1  				Υπέροχα. Φαίνεται ότι η οικογένεια Παλέρμο έχει αρχίσει να συρρικνώνεται.

adviser_food_sprinklerintro1 			Πιθανώς να έχουμε ένα πολύ σοβαρό πρόβλημα ναρκωτικών. Μα δεν μπορούμε να ασχοληθούμε με αυτό ακόμα.
adviser_food_sprinklerintro2 			Το μαγειρείο και η καντίνα μας είναι έτοιμα και λειτουργούν κανονικά. Τώρα που οι μάγειρές μας μπορούν να ετοιμάσουν φαγητό για όλους, ελπίζω να ηρεμήσουν τα πράγματα.
adviser_food_sprinklers1                Φοβάμαι ότι η φωτιά προφανώς δεν ήταν ατύχημα. Πρέπει να φροντίσουμε ότι δεν θα επαναληφθεί κάτι τέτοιο.
adviser_food_sprinklers2 				Εγκατάστησε ένα σύστημα ψεκασμού πάνω από το νέο μαγειρείο και την καντίνα. Μετά σύνδεσέ το με τους κεντρικούς αγωγούς νερού.

adviser_food_explainneeds1 				Όλοι οι κρατούμενοι έχουν ανάγκες. Αυτές οι ανάγκες επηρεάζουν άμεσα τη συμπεριφορά τους. Αυτή τη στιγμή, όλοι λιμοκτονούν και γι' αυτό γίνεται ο σαματάς.
adviser_food_explainneeds2 				Το φαγητό είναι μία από τις ανάγκες με τη μεγαλύτερη προτεραιότητα και καλά θα κάνεις να μην την αγνοήσεις. Μερικά αποτυχημένα ή χαμένα γεύματα είναι το μόνο που χρειάζεται για να εξεγερθεί ολόκληρη η φυλακή.
adviser_food_explainneeds3 				Μπορείς να παρακολουθείς τις ανάγκες όλων των κρατουμένων σου από την αναφορά Αναγκών, στην οποία μπορείς να φτάσεις μέσω του εικονιδίου Αναφορών, κάτω δεξιά.
adviser_food_explainneeds4				Αυτή η αναφορά εμφανίζει τις συνδυασμένες ανάγκες όλων των κρατουμένων σου. Το κόκκινο σημαίνει ότι πολλοί κρατούμενοι είναι θυμωμένοι επειδή η συγκεκριμένη ανάγκη τους δεν ικανοποιείται.
adviser_food_explainneeds5 				Όπως είναι αναμενόμενο, η ανάγκη για Φαγητό είναι κόκκινη σχεδόν για όλους. Όμως πέρα από αυτό, αυτοί οι κρατούμενοι βαριούνται τρομερά (ανάγκη για Αναψυχή). Επίσης, η φυλακή βρίσκεται σε αρκετά κακή κατάσταση, πράγμα που αντικατοπτρίζεται στις ανάγκες τους για Περιβάλλον και Ρουχισμό.
adviser_food_explainneeds6				Ως αρχιτέκτονας αυτής της φυλακής, εσύ αποφασίζεις για το ποιες ανάγκες να προσπαθήσεις να ικανοποιήσεις πρώτα. Θα μπορούσες να βάλεις τηλεοράσεις στα κελιά των κρατουμένων για να τους απασχολήσεις και να προσλάβεις μερικούς Επιστάτες για να καθαρίσουν.
adviser_food_explainneeds7				Ή μπορείς απλώς να αγνοήσεις τελείως τις ανάγκες των φυλακισμένων σου και να βασιστείς στη βία, για να κρατήσεις τη φυλακή σου υπό έλεγχο.
adviser_food_explainneeds8 				Το αφήνω πάνω σου.

objective_food_needs 					(ΠΡΟΑΙΡΕΤΙΚΟ) Φρόντισε τις ανάγκες των κρατουμένων σου
objective_food_handlefoodneed 			(ΠΡΟΑΙΡΕΤΙΚΟ) Φρόντισε την ανάγκη των κρατουμένων σου για Φαγητό  
objective_food_handleboredomneed		(ΠΡΟΑΙΡΕΤΙΚΟ) Φρόντισε την ανάγκη των κρατουμένων σου για Αναψυχή  
objective_food_handleenvironmentneed	(ΠΡΟΑΙΡΕΤΙΚΟ) Φρόντισε την ανάγκη των κρατουμένων σου για ένα καλό Περιβάλλον

objective_food_needs_description 					Μπορείς να δεις μια επισκόπηση των αναγκών όλων των κρατουμένων σου, κάνοντας κλικ στις Αναφορές (κάτω δεξιά γωνία της οθόνης) και μετά στις Ανάγκες.\nΜπορείς επίσης να φέρεις τον δρομέα πάνω σε έναν κρατούμενο, για να δεις τις ανάγκες που έχει.\n\nΟι Ανάγκες δεν μπορούν να αντιμετωπιστούν ποτέ πλήρως – πρόκειται για έναν συνεχή αγώνα.
objective_food_handlefoodneed_description 			Οι μάγειρές μας θα ετοιμάσουν φαγητό για όλους. Θα πρέπει να ταϊστούν όλοι οι κρατούμενοι μέχρι το τέλος της επόμενης περιόδου γεύματος.
objective_food_handleboredomneed_description 		Μπορείς να αντιμετωπίσεις την πλήξη αρκετά αποτελεσματικά βάζοντας από μία τηλεόραση στο κελί κάθε κρατουμένου. Ή μπορείς να φτιάξεις μια Αίθουσα αναψυχής και να εγκαταστήσεις μέσα της μερικές τηλεοράσεις και τραπέζια μπιλιάρδου.\n\nΜπορείς επίσης να εγκαταστήσεις τηλεοράσεις σε κοινόχρηστα δωμάτια, όπως η Καντίνα.
objective_food_handleenvironmentneed_description 	Προσέλαβε μερικούς επιστάτες για να καθαρίσουν σιγά σιγά τον χώρο.

adviser_food_needssuccess1 				Φρόντισες τις ανάγκες των κρατουμένων σου με αξιοθαύμαστη αφοσίωση. Μπράβο σου.
adviser_food_needssuccess2 				Λογικά θα παρατήρησες ότι το μεγαλύτερο παράπονο που έχουν ακόμα οι κρατούμενοι είναι η έλλειψη καθαρών ρούχων.  
adviser_food_needssuccess3 				Αν θέλεις να φροντίσεις και αυτή την ανάγκη, θα χρειαστεί να ξεκινήσεις μια υπηρεσία καθαρισμού ρουχισμού, για να προσφέρεις σταδιακά σε όλους τους κρατουμένους σου καθαρά ρούχα.
adviser_food_needssuccess4 				Χτίσε έναν χώρο πλυντηρίου και προσέλαβε περισσότερους επιστάτες, για να αρχίσουν να παρέχουν καθαρό ρουχισμό στους κρατουμένους μας.

objective_food_laundry 					(ΠΡΟΑΙΡΕΤΙΚΟ) Καθαρά ρούχα
objective_food_buildlaundry 			(ΠΡΟΑΙΡΕΤΙΚΟ) Φτιάξε έναν Χώρο πλυντηρίων
objective_food_hirejanitors             (ΠΡΟΑΙΡΕΤΙΚΟ) Προσέλαβε αρκετούς επιστάτες για να διαχειρίζονται τον χώρο πλυντηρίων σου
objective_food_handleclothingneed 		(ΠΡΟΑΙΡΕΤΙΚΟ) Φρόντισε την ανάγκη των κρατουμένων σου για Ρούχα

objective_food_buildkitchen             Φτιάξε ένα Μαγειρείο (περίπου 12 τ.μ.)
objective_food_buildkitchencookers      Εγκατάστησε τουλάχιστον 4 Κουζίνες
objective_food_buildkitchenfridges      Εγκατάστησε τουλάχιστον 4 Ψυγεία
objective_food_buildkitchensink         Εγκατάστησε έναν Νεροχύτη
objective_food_buildkitchenbin	 		Τοποθέτησε έναν Κάδο στο Μαγειρείο
objective_food_buildkitchenwatermains 	Σύνδεσε τον Νεροχύτη με τους κεντρικούς αγωγούς νερού
objective_food_buildkitchenfloor 		(ΠΡΟΑΙΡΕΤΙΚΟ) Βελτίωσε το πάτωμα του Μαγειρείου

objective_food_buildkitchen_description		Πρέπει να φτιάξεις πρώτα Θεμέλια.
objective_food_buildcanteen_description		Πρέπει να φτιάξεις πρώτα Θεμέλια.

objective_Food_HireChefs				Προσέλαβε τουλάχιστον 8 Μάγειρες
objective_food_CookMeals				(Αυτόματο) Ετοίμασε γεύματα για όλους τους κρατουμένους

objective_food_buildcanteen             Φτιάξε μια Καντίνα (περίπου 20 τ.μ.)
objective_food_buildservingtables       Εγκατάστησε 2 Πάγκους σερβιρίσματος
objective_food_buildcanteentables       Εγκατάστησε τουλάχιστον 6 Τραπέζια
objective_food_buildcanteenchairs       Εγκατάστησε 2 Πάγκους γύρω από κάθε τραπέζι
objective_food_buildcanteenbin	 		Τοποθέτησε έναν Κάδο στην Καντίνα
objective_food_buildcanteenfloor 		(ΠΡΟΑΙΡΕΤΙΚΟ) Βελτίωσε το πάτωμα της Καντίνας


objective_food_buildsprinklers          Εγκατάστησε ένα νέο σύστημα Ψεκαστήρων
objective_food_buildsprinklers1         Εγκατάστησε μερικούς ψεκαστήρες στο Μαγειρείο
objective_food_buildsprinklers2         Εγκατάστησε μερικούς ψεκαστήρες στην Καντίνα
objective_food_connectwater             Σύνδεσε τους ψεκαστήρες του Μαγειρείου με τους κεντρικούς αγωγούς νερού
objective_food_connectwater2			Σύνδεσε τους ψεκαστήρες του Μαγειρείου με τους κεντρικούς αγωγούς νερού
objective_food_feedprisoners            Ολοκλήρωσε μια υπηρεσία σίτισης, ταΐζοντας όλους τους κρατουμένους

objective_food_buildkitchenwatermains_description   Οι μεγάλοι σωλήνες χρησιμοποιούνται για τη μεταφορά μεγάλων ποσοτήτων νερού υπό υψηλή πίεση. Οι μικροί σωλήνες χρησιμοποιούνται για τη σύνδεση μεμονωμένων αντικειμένων στο σύστημα υδροδοσίας.\n\nΧρησιμοποίησε την προβολή ΠΑΡΟΧΕΣ για να τοποθετήσεις μεγάλους σωλήνες στα κτίριά σου. Ύστερα, χρησιμοποίησε μικρούς σωλήνες για να συνδέσεις τον μεγάλο σωλήνα με όλα τα κοντινά αντικείμενα που χρειάζονται υδροδοσία.
objective_food_connectwater_description             Οι μεγάλοι σωλήνες χρησιμοποιούνται για τη μεταφορά μεγάλων ποσοτήτων νερού υπό υψηλή πίεση. Οι μικροί σωλήνες χρησιμοποιούνται για τη σύνδεση μεμονωμένων αντικειμένων στο σύστημα υδροδοσίας.\n\nΧρησιμοποίησε την προβολή ΠΑΡΟΧΕΣ για να τοποθετήσεις μεγάλους σωλήνες στα κτίριά σου. Ύστερα, χρησιμοποίησε μικρούς σωλήνες για να συνδέσεις τον μεγάλο σωλήνα με όλα τα κοντινά αντικείμενα που χρειάζονται υδροδοσία.
objective_food_connectwater2_description            Οι μεγάλοι σωλήνες χρησιμοποιούνται για τη μεταφορά μεγάλων ποσοτήτων νερού υπό υψηλή πίεση. Οι μικροί σωλήνες χρησιμοποιούνται για τη σύνδεση μεμονωμένων αντικειμένων στο σύστημα υδροδοσίας.\n\nΧρησιμοποίησε την προβολή ΠΑΡΟΧΕΣ για να τοποθετήσεις μεγάλους σωλήνες στα κτίριά σου. Ύστερα, χρησιμοποίησε μικρούς σωλήνες για να συνδέσεις τον μεγάλο σωλήνα με όλα τα κοντινά αντικείμενα που χρειάζονται υδροδοσία.

campaigncutscene_foodinfirmary			Αναρρωτήριο
campaigncutscene_foodfamily             Οικογένεια
campaigncutscene_foodfeud               Βεντέτα
campaigncutscene_foodregret				Μεταμέλεια
campaigncutscene_foodsuccession 		Διαδοχή

campaigncutscene_foodfamily_description		Η οικογένεια Παλέρμο διακινούσε κάποτε ναρκωτικά σε όλη την ανατολική ακτή της Αμερικής. Ανακάλυψε την ιστορία του Δον Παλέρμο και των παιδιών του.

adviser_name_thedon                     Δον Παλέρμο
adviser_name_thedonangry                Δον Παλέρμο
adviser_name_nico                       Νίκο Ταμορέτι  
adviser_name_nicoshower					Νίκο Ταμορέτι
adviser_name_nicosuited					Νίκο Ταμορέτι
adviser_name_sonny                      Σόνι Παλέρμο  
adviser_name_sonnysuited				Σόνι Παλέρμο
adviser_name_sonnystrangled				Σόνι Παλέρμο
adviser_name_anthonysuited				Άντονι Παλέρμο
adviser_name_wiggins					Ουίγκινς
adviser_name_nicoinfirmary				Νίκο Ταμορέτι
adviser_name_vitalia					Βιτάλια Παλέρμο

cutscene_foodfamily_palermo01			Δον Βίκτορ Παλέρμο. Κεφαλή μίας από τις τρομερές οικογένειες μαφιόζων της ανατολικής ακτής.
cutscene_foodfamily_palermo1			Τα μέλη της οικογένειας Παλέρμο απέφευγαν το FBI για δεκαετίες.
cutscene_foodfamily_palermo02			Υπεύθυνος για τις καθημερινές τους δραστηριότητες ήταν ο Άντονι Παλέρμο, πρωτότοκος γιος και φυσικός διάδοχος του Δον.  
cutscene_foodfamily_palermo03			Ο Νίκο Ταμορέτι αρχικά δεν ήταν μαφιόζος, αλλά αφού παντρεύτηκε τη μοναχοκόρη του Δον, την Βιτάλια, η οικογένεια τον δέχτηκε με ανοιχτές αγκάλες στην επιχείρησή της.
cutscene_foodfamily_palermo04			Και τέλος, ο Σόνι Παλέρμο. Ο δεύτερος γιος του Δον. Ο βενιαμίν της φαμίλιας. Ευέξαπτος σαν πίτμπουλ και με τα μισά μυαλά.

cutscene_foodfamily_palermo2 			Η αυτοκρατορία τους είχε αναλάβει την εμπορία ναρκωτικών από το Μέιν μέχρι τη Φλόριντα.  
cutscene_foodfamily_palermo3			Μέχρι που ο Άντονι πιάστηκε επ' αυτοφώρω.
cutscene_foodfamily_palermo3b           Σκοτώθηκε από έναν ζηλιάρη σύζυγο.
cutscene_foodfamily_palermo4			Δυστυχώς για την φαμίλια, η αστυνομία που κατέφτασε στον χώρο του εγκλήματος ανακάλυψε δώδεκα κιλά ακατέργαστης κοκαΐνης στον αθλητικό σάκο του Άντονι.  
cutscene_foodfamily_palermo5			Και τα στοιχεία την οδήγησαν κατευθείαν στην κορυφή.
cutscene_foodfamily_palermo6			Μέσα σε μία νύχτα, όλα όσα είχε χτίσει η οικογένεια Παλέρμο κατέρρευσαν. Το FBI είχε όλα όσα χρειαζόταν, για να εξασφαλίσει ότι θα σάπιζαν όλα τα μέλη της στη φυλακή.
cutscene_foodfamily_palermo7			Αφήνοντας έτσι τη Βιτάλια, την κόρη του Δον, το μοναδικό ζωντανό μέλος της οικογένειας που δεν βρισκόταν πίσω απ' τα κάγκελα.
cutscene_foodfamily_palermo8			Δεν ξέρουμε πολλά γι' αυτή, πέρα απ' το ότι τα άλλα μέλη της οικογένειας την κρατούσαν μακριά από την επιχείρησή τους.  
cutscene_foodfamily_palermo9 			Όμως, κάποιος πρέπει να υπήρχε απέξω που έστελνε τα ναρκωτικά.

adviser_food_findalldrugs1				Το ζήτημα της τροφής κανονίστηκε. Οι κρατούμενοι θα είναι πολύ πιο ικανοποιημένοι με γεμάτο στομάχι.

adviser_food_findalldrugs2				Το σίγουρο είναι ότι οι Παλέρμο πουλούσαν αυτά τα ναρκωτικά σε κάθε κρατούμενο εδώ μέσα.  
adviser_food_findalldrugs3				Οι φύλακες με πληροφορούν ότι βλέπουν πολλά σημάδια στέρησης στους κρατουμένους μετά τη φωτιά.  
adviser_food_findalldrugs4				Θέλω να κάνεις έλεγχο σε κάθε κρατούμενο και κάθε κελί. Βάζω στοίχημα ότι θα βρούμε ναρκωτικά που προέρχονται απ' τους Παλέρμο σ' όλη τη φυλακή.

objective_food_findalldrugs					Βρες όλα τα ναρκωτικά στη φυλακή
objective_food_findalldrugs_description 	Κάνε έλεγχο σε κάθε πτέρυγα κράτησης, κάνοντας κλικ σε έναν κρατούμενο σε μια συγκεκριμένη πτέρυγα και μετά στο «Έλεγχος πτέρυγας κράτησης». Εναλλακτικά, χρησιμοποίησε την επιλογή Έφοδος από τη γραμμή εργαλείων στο κάτω μέρος της οθόνης.

objective_food_hiremoreguards 			(ΠΡΟΑΙΡΕΤΙΚΟ) Προσέλαβε περισσότερους φύλακες για να επιταχύνεις τον έλεγχο

adviser_food_drugsfound1				Πάλι καλά, η κατάσταση θα μπορούσε να είναι πολύ χειρότερη. Μα σίγουρα υπάρχει πρόβλημα εθισμού σε ναρκωτικά και αλκοόλ.
adviser_food_drugsfound2				Πρέπει να βοηθήσουμε αυτούς τους άντρες. Είναι ο μόνος τρόπος να ελαττώσεις τη χρήση και να αντιμετωπίσουμε τα συμπτώματά τους.  
adviser_food_drugsfound2b 				Ξεκίνα ένα πρόγραμμα θεραπείας εθισμού στα ναρκωτικά στο Αναρρωτήριο. Οι Γιατροί μας θα χορηγήσουν ένα χημικό υποκατάστατο που θα καταπραΰνει την επιθυμία των εθισμένων κρατουμένων μας για ναρκωτικά.
adviser_food_drugsfound3				Για τους αλκοολικούς δεν υπάρχει χημικό υποκατάστατο, οπότε προτείνω να ξεκινήσουμε ομαδικές θεραπευτικές συνεδρίες.  
adviser_food_drugsfound4				Θα πρέπει να φτιάξεις μια καινούργια Αίθουσα αναψυχής όπου θα γίνονται αυτές οι συνεδρίες.
adviser_food_drugsfound5				Για να ξεκινήσεις νέα Προγράμματα, πήγαινε στις «Αναφορές» στην κάτω δεξιά γωνία της οθόνης και μετά στα «Προγράμματα».

objective_food_drugtreatment			Ξεκίνα ένα πρόγραμμα θεραπείας εθισμού στα ναρκωτικά
objective_food_cureaddictions			(ΠΡΟΑΙΡΕΤΙΚΟ) Άρχισε να θεραπεύεις τους εθισμούς των κρατουμένων στα ναρκωτικά
objective_food_alcoholprogram			Ξεκίνα ένα πρόγραμμα ομαδική θεραπείας για αλκοολικούς
objective_Food_HelpAlcoholics			(ΠΡΟΑΙΡΕΤΙΚΟ) Άρχισε να βοηθάς τους αλκοολικούς να αναρρώσουν
objective_food_buildcommonroom 			Φτιάξε μια Αίθουσα αναψυχής  
objective_food_buildcommonroomchairs	Δημιούργησε έναν χώρο συναντήσεων που θα αποτελείται από 8 καρέκλες

objective_food_drugtreatment_description 	Κάνε κλικ στις «Αναφορές» στην κάτω δεξιά γωνία της οθόνης και μετά διάλεξε την καρτέλα «Προγράμματα». Το πρόγραμμα ονομάζεται «Φαρμακολογική θεραπεία εθισμού στα ναρκωτικά» και πραγματοποιείται στο Αναρρωτήριο.\n\nΣημείωση: Θα χρειαστεί να ορίσεις τουλάχιστον δύο ώρες χρόνου Εργασίας στο Καθεστώς, για να επιτρέψεις στους κρατουμένους να συμμετέχουν.
