
campaigncutscene_tooltip 				（点击触发剧情的下一章）
objective_food_dismissallfiremen_description 	如果需要遣散紧急出动，在屏幕右侧找到其图标并单击红色的 X 圆圈按钮，将送他们送回原处。
objective_food_cleararea_description 	用推平工具拆除建筑物。推平工具位于主工具栏中的“基础”下方。

adviser_food_familyvisit1				干得不错。
adviser_food_familyvisit2 				我们来核查一下我们的伤亡情况。

adviser_food_troublesoon1				如果没有食物，这些囚犯将一两天之内把墙拆掉。
adviser_food_troublesoon2 				我们必须确保监狱防护稳固，防止以出现暴动而告终。
adviser_food_troublesoon3 				这是部署屏幕。你可以在这里控制所有警卫的战术部署。
adviser_food_troublesoon4 				向所有牢房和牢室部署警卫。向监狱周围的警卫站分配 10 名警卫。这应该是对目前实力的充分展示。
adviser_food_troublesoon5				我也想在建造新监狱的位置围绕内庭执行巡逻。
adviser_food_troublesoon6				最后一件事。餐厅无法运转，有些装着食物的箱子已经腐坏了。倾倒这些食物以防感染。

objective_food_deployguards				在监狱周围部署 10 名警卫
objective_food_deploypatrol				分配 2 名警卫巡逻内庭 

objective_food_deployguards_description		要部署警卫，打开部署屏幕，然后在某个区块内点击以建立一个警卫站。一名警卫将被自动分配给该警卫站。
objective_food_deploypatrol_description		打开部署屏幕，然后选择巡逻。点击并拖动以画出你的巡逻路线。\n\n再次点击巡逻线路内的任意方块即可分配巡逻警卫。

objective_food_dumpfood 				倾倒腐坏的食材
objective_food_dumpfood_description		你可以在监狱东北区域的橱柜里找到腐坏的食材。\n\n点击物品然后在弹出的菜单中点击“倾倒”即可将其丢弃。

adviser_food_doncantspeak1				....
adviser_food_doncantspeak2				呃.... ... 

adviser_food_doninfirmary0              我想他正试图说些什么。
adviser_food_doninfirmary1				这是你们中间哪个该死的变态混蛋干的？
adviser_food_doninfirmary2 				爹爹，没人故意这样对你。那是个意外。
adviser_food_doninfirmary3 				闭上你的臭嘴，给我听好。你们俩。
adviser_food_doninfirmary4 				如果我弄清楚是你们中间哪一个该死的放的火，我就拍断他的脖子！
adviser_food_doninfirmary5 				但我的大限已至。我会在这破床上死去。
adviser_food_doninfirmary6 				但我还有家族企业需要经营。我们只剩下巴勒莫这个名头了。所以，你们这些废物要做些值得尊敬的事。懂吗？
adviser_food_doninfirmary7				爹爹，我们知道该怎么做。
adviser_food_donchat13					尼科，还没有结束。
adviser_food_donchat14					当心背后。

adviser_food_founddrugs1				你不会相信我刚刚听到的事情。
adviser_food_founddrugs2				我们的人在倾倒一些过期的食材。他们发现了藏在箱子里的毒品和瓶装酒。
adviser_food_founddrugs3				我们早已怀疑巴勒莫家族向监狱私运货品了，但我们从来没有能够确定。
adviser_food_founddrugs4 				有时候不只会下雨，还会下倾盆大雨。

adviser_food_rebuild1                   我们还要做很多工作。我们需要将注意力转移到新建厨房和餐厅上。
adviser_food_rebuild2                   首先，我们需要重建厨房。你需要安装几件装备，并雇佣一些厨师。
adviser_food_rebuild3					然后建造一个新的餐厅。
adviser_food_rebuild4					一切都完成后，厨师会自动开始为整个监狱做饭。
adviser_food_rebuild5                   如果你在任何时候不确定要做什么，可以在待办事项清单上突出显示目标以查看提示。

adviser_food_fightoutro1  				太棒了。貌似巴勒莫家族的成员已经不多了。

adviser_food_sprinklerintro1 			我们面临相当严重的毒品问题。但是我们目前还不能处理。
adviser_food_sprinklerintro2 			我们已经使厨房和餐厅正常运行。我们的厨师将给大家准备食物，这样应该能给事态降降温。
adviser_food_sprinklers1                我担心大火显然是有人故意为之，我们不希望重复这样的事。
adviser_food_sprinklers2 				在新的厨房和餐厅安装自动喷水灭火系统，并将它们连接到总水管。

adviser_food_explainneeds1 				所有囚犯都有需求。这些需求直接影响到你的囚犯的行为。现在所有囚犯都在挨饿，这就是他们大喊大叫的原因。
adviser_food_explainneeds2 				食物是他们最优先的需求之一，如果你忽略它，后果自负。固若金汤的监狱距离暴动只有几顿挨饿的距离。
adviser_food_explainneeds3 				你可以用需求报告监控所有囚犯的需求，通过右下方的报告图标即可查看此报告。
adviser_food_explainneeds4				该报告显示所有囚犯的综合需求。红色意味着很多犯人对于这一特定需求没有得到满足而感到愤怒。
adviser_food_explainneeds5 				正如你所料，几乎每个囚犯的食物部分都是红色的。但是，这些囚犯也很无聊（休闲需求），并且监狱非常破旧寒酸，从囚犯们的环境和服装需求即可反映出来。
adviser_food_explainneeds6				作为常驻监狱建筑师，由你决定首先解决哪种需求。你可以在他们的牢房中安装电视供其娱乐，并雇佣一些清洁工清理牢房。
adviser_food_explainneeds7				或者你可以完全不理会囚犯们的所有需求，并依靠武力控制你的监狱。
adviser_food_explainneeds8 				我会让你决定。

objective_food_needs 					（可选）满足囚犯们的需求
objective_food_handlefoodneed 			（可选）满足囚犯的食物需求 
objective_food_handleboredomneed		（可选）满足囚犯的娱乐需求 
objective_food_handleenvironmentneed	（可选）满足囚犯的环境需求

objective_food_needs_description 					通过点击报告（屏幕右下角）然后点击需求，你可以看到所有囚犯的整体需求。\n你还可以突出显示囚犯，看看哪些需求会影响到他。\n\n你无法一劳永逸地满足需求——这是一场持久战。
objective_food_handlefoodneed_description 			我们的厨师将给所有人准备食物，所有囚犯应在下一餐结束时吃上饭。
objective_food_handleboredomneed_description 		通过在每名囚犯的牢房安装电视可以非常有效地满足休闲需求。或者你可以建造一个公共房间，在其中放置一些电视和台球桌。\n\n你还可以在餐厅等公共房间放置电视。
objective_food_handleenvironmentneed_description 	聘请一些清洁工，他们将逐步清理这个地方。

adviser_food_needssuccess1 				在满足囚犯需求方面，你已经显示出令人钦佩的专注度。做得好。
adviser_food_needssuccess2 				到目前为止你可能已经注意到，囚犯们未解决的主要抱怨是缺乏干净的囚服。
adviser_food_needssuccess3 				如果你想满足这方面的需求，你需要解锁洗衣房并提供洗衣服务，以逐步向所有囚犯提供干净囚服。
adviser_food_needssuccess4 				建立洗衣房并雇佣一些清洁工，开始向囚犯提供干净的囚服。

objective_food_laundry 					（可选）干净的囚服
objective_food_buildlaundry 			（可选）建立自助洗衣店
objective_food_hirejanitors             （可选）雇佣足够的清洁工来经营洗衣房
objective_food_handleclothingneed 		（可选）满足囚犯的服装需求

objective_food_buildkitchen             建立厨房（约 12 平米）
objective_food_buildkitchencookers      安装至少四件炊具
objective_food_buildkitchenfridges      安装至少四个冰箱
objective_food_buildkitchensink         安装厨房水槽
objective_food_buildkitchenbin	 		在厨房放置垃圾桶
objective_food_buildkitchenwatermains 	将水槽连接到总水管
objective_food_buildkitchenfloor 		（可选）改进厨房的地板

objective_food_buildkitchen_description		你需要先建造地基。
objective_food_buildcanteen_description		你需要先建造地基。

objective_Food_HireChefs				雇佣至少 8 名厨师
objective_food_CookMeals				（自动）为所有囚犯准备饭菜

objective_food_buildcanteen             建立餐厅（约 20 平米）
objective_food_buildservingtables       安装至少两张送餐桌
objective_food_buildcanteentables       安装至少六张桌子
objective_food_buildcanteenchairs       在每张桌子周围安装两个长凳
objective_food_buildcanteenbin	 		在餐厅放置垃圾桶
objective_food_buildcanteenfloor 		（可选）改进餐厅的地板


objective_food_buildsprinklers          安装新的自动喷水灭火系统
objective_food_buildsprinklers1         在厨房安装几个灭火喷头
objective_food_buildsprinklers2         在餐厅安装几个灭火喷头
objective_food_connectwater             将厨房的灭火喷头连接到总水管
objective_food_connectwater2			将餐厅的灭火喷头连接到总水管
objective_food_feedprisoners            通过给所有囚犯提供食物完成一次晚餐服务

objective_food_buildkitchenwatermains_description   大型管道用于运送大量的高压水。小型管道用于向供水管连接单个配件。\n\n使用公用设施视图向你的建筑中放置大型管道。然后使用小型管道将大型管道连接到附近需要供水的部件。
objective_food_connectwater_description             大型管道用于运送大量的高压水。小型管道用于向供水管连接单个配件。\n\n使用公用设施视图向你的建筑中放置大型管道。然后使用小型管道将大型管道连接到附近需要供水的部件。
objective_food_connectwater2_description            大型管道用于运送大量的高压水。小型管道用于向供水管连接单个配件。\n\n使用公用设施视图向你的建筑中放置大型管道。然后使用小型管道将大型管道连接到附近需要供水的部件。

campaigncutscene_foodinfirmary			医务室
campaigncutscene_foodfamily             家庭
campaigncutscene_foodfeud               世仇
campaigncutscene_foodregret				遗憾
campaigncutscene_foodsuccession 		继承

campaigncutscene_foodfamily_description		巴勒莫家族曾经营着美国所有东海岸地区的毒品业务。探索唐•巴勒莫及其子嗣们的背景故事。

adviser_name_thedon                     唐•巴勒莫
adviser_name_thedonangry                唐•巴勒莫
adviser_name_nico                       尼科•塔莫莱蒂 
adviser_name_nicoshower					尼科•塔莫莱蒂 
adviser_name_nicosuited					尼科•塔莫莱蒂 
adviser_name_sonny                      桑尼•巴勒莫
adviser_name_sonnysuited				桑尼•巴勒莫
adviser_name_sonnystrangled				桑尼•巴勒莫
adviser_name_anthonysuited				安东尼•巴勒莫
adviser_name_wiggins					威金斯
adviser_name_nicoinfirmary				尼科•塔莫莱蒂 
adviser_name_vitalia					维达利亚•巴勒莫

cutscene_foodfamily_palermo01			唐•维达利亚•巴勒莫是东海岸最可怕黑帮家族之一的头目。
cutscene_foodfamily_palermo1			几十年来，巴勒莫一直在躲避联邦调查局。
cutscene_foodfamily_palermo02			唐的长子和自然继承人安东尼•巴勒莫掌管着日常运作。
cutscene_foodfamily_palermo03			尼科•塔莫莱蒂并非正式成员，但在他迎娶唐唯一的女儿维达利亚时受邀加入家族业务。
cutscene_foodfamily_palermo04			桑尼•巴勒莫。唐的第二个儿子。也是最小的儿子​​。脾气像一头公牛，但只有公牛一半那么聪明。

cutscene_foodfamily_palermo2 			他们的帝国经营着从缅因州到佛罗里达州的毒品贸易。
cutscene_foodfamily_palermo3			直到安东尼在作案现场被抓获。
cutscene_foodfamily_palermo3b           被醋意大发的丈夫射杀。
cutscene_foodfamily_palermo4			对于家族而言不幸的是，警方在现场从安东尼的运动包中发现了 12 公斤未分割的可卡因。
cutscene_foodfamily_palermo5			而且这一证据直接指向家族顶端。
cutscene_foodfamily_palermo6			一夜之间，巴勒莫家族积累的一切彻底坍塌。联邦调查局拥有确保他们把牢底坐穿的一切证据。
cutscene_foodfamily_palermo7			唐唯一的女儿，也是家族唯一活着的成员，并未入狱。
cutscene_foodfamily_palermo8			我们并不太了解她，只知道她总被隔离在家族业务之外。
cutscene_foodfamily_palermo9 			但外面一定得有人向里面运送毒品。

adviser_food_findalldrugs1				食物问题得到解决。囚犯们又吃上饭了，他们现在会比以前快乐得多。

adviser_food_findalldrugs2				你可以打赌，巴勒莫曾向这里的每个囚犯兜售毒品。
adviser_food_findalldrugs3				警卫们告诉我，他们看到很多囚犯自大火以来显示出戒毒迹象。
adviser_food_findalldrugs4				我要你去搜查每个囚犯，每个牢房。我敢打赌，我们会发现巴勒莫的毒品遍布监狱。

objective_food_findalldrugs					找到监狱里的所有毒品
objective_food_findalldrugs_description 	通过点击牢房区块内的囚犯然后点击“搜索牢房区块”搜查每个牢房区块。或者使用屏幕底部工具栏中的彻底搜查选项。

objective_food_hiremoreguards 			（可选）雇佣更多警卫以加快搜查

adviser_food_drugsfound1				从积极的一面来说，并没有那么糟糕，但肯定存在毒品和酒精依赖问题。
adviser_food_drugsfound2				我们要帮助这些人。这是遏制他们的活动和处理他们症状的唯一途径。
adviser_food_drugsfound2b 				在医务室启动戒毒方案。我们的医师会给囚犯们配给化学替代品，这将有助于缓解瘾君子们的毒瘾。
adviser_food_drugsfound3				对于嗜酒者而言，不存在化学替代品，所以我建议我们启动集体理疗。
adviser_food_drugsfound4				你必须建立一个新的公共房间来进行这些会议。
adviser_food_drugsfound5				转至屏幕右下角的“报告”然后选择“方案”以启动新方案。

objective_food_drugtreatment			启动戒毒方案
objective_food_cureaddictions			（可选）开始治疗囚犯们的毒瘾
objective_food_alcoholprogram			启动戒酒集体治疗方案
objective_Food_HelpAlcoholics			（可选）开始通过恢复帮助酗酒者
objective_food_buildcommonroom 			建立公共房间 
objective_food_buildcommonroomchairs	创建包含 8 把椅子的聚会场所

objective_food_drugtreatment_description 	点击屏幕右下方的“报告”，然后选择“方案”选项卡。该计划被称为“药物治疗毒瘾”，在医务室进行。\n\n注意，你需要在系统中设定至少两小时的工作时间以允许囚犯参加治疗。
objective_food_alcoholprogram_description 	点击屏幕右下方的“报告”，然后选择“方案”选项卡。\n\n注意，你需要在系统中设定至少两小时的工作时间以允许囚犯参加治疗。

cutscene_food_feudintro1 				浴室里出事了。有一具尸体。
cutscene_food_feudintro2 				事实上，有两具尸体。幸运的是，我们在那里安装了摄像头。
cutscene_food_feudintro3 				当你有空时，点击浴室内的宝丽来摄像头，我们来看看发生了什么。

objective_food_triggerfightscene		当你准备好后，点击浴室内的宝丽来摄像头继续。
objective_food_triggerfightscene_description 	浴室位于监狱的西北角。

cutscene_food_feud1b                    独自。完美。
cutscene_food_feud1                     不着急，慢慢来。
cutscene_food_feud2                     别废话。不知道我那个蠢货妹妹看上你哪一点了。
cutscene_food_feud2b 					这是她的想法？ 还是老头的想法？
cutscene_food_feud3                     你这个死胖子，这就是你的想法？ 我并不想让他受到伤害。我爱他，就像他是我的亲生父亲一样。
cutscene_food_feud3b 					家族由于你的愚蠢而遭重挫，这让我十分抓狂。
cutscene_food_feud4                     大火是针对你的。
cutscene_food_feud5                     考虑一下这个报恩的提议。
cutscene_food_feud6                     圣人不会来。我们都知道你早晚有一天要带我出去。
cutscene_food_feud7                     是啊尼科，你总是很聪明。看看它伤到你哪里了。别担心，你会一点感觉也没有。
cutscene_food_feud8                     我告诉过你。当心。
cutscene_food_feud8b                    呃！……
cutscene_food_feud8c                    啊！
cutscene_food_feud8d                    你之前见过佛朗基吗？他在钢琴丝方面有独特才能。
cutscene_food_feud8e                    老实说，他去世的时候，他们认为是自杀。
cutscene_food_feud9                     尼科，还没有结束。
cutscene_food_feud9b                    你一定是在开玩笑吧。

cutscene_food_successionintro			非常好。我们真正做出了改变，我认为监狱重新回到了控制之下。
cutscene_food_successionintro2 			你可以留下进一步改进监狱，或者我们可以到下一所监狱去。
cutscene_food_successionintro3 			当你准备好继续时，点击医务室的宝丽来摄像头。

objective_food_runending 				当你准备好后，点击医务室的宝丽来摄像头继续。
objective_food_runending_description	医务室位于监狱设施的西南边缘。

cutscene_food_succession1				维达利亚！
cutscene_food_succession1b				……？
cutscene_food_succession2				甜美的脸颊！
cutscene_food_succession3				我很抱歉。我搞砸了。
cutscene_food_succession4				安静。
cutscene_food_succession5				他们说爹爹撑不过这周。
cutscene_food_succession6				我知道。我是来告别的。
cutscene_food_succession7				你知道，我们现在可以远走高飞。就你和我。这该死的生活。带走了一切。
cutscene_food_succession8				我想这么做。
cutscene_food_succession9				但我不能。尼科，我是巴勒莫家族的人。
cutscene_food_succession10				爹爹去世了，而你这个局外人取代了他的位置。我们的敌人会轻易地击败这个家族。
cutscene_food_succession11 				我不能允许这种事发生。我必须向他们展示巴勒莫家族的人仍然可以称王。
cutscene_food_succession12				什么，所以你要这么凶狠地打我？ 毕竟我们一起经历过很多事情？
cutscene_food_succession13				尼科，尼科，尼科。你太守旧了。
cutscene_food_succession14 				不，亲爱的。我要和你离婚。
cutscene_food_succession15				该死？ 你在开玩笑？ 如果我身后没有这个家族，我就和死人没什么区别。
cutscene_food_succession16				我知道，亲爱的。但是，这已经不是我所关心的事了。
cutscene_food_succession17				爹爹，我希望你到一个更好的地方。
cutscene_food_succession18				再见尼科。


# =============================================================================
# Riot 
# =============================================================================

campaignchapter_riot                    G.A.B.O.S
campaignchapter_riot_description		Alchemico 州立监狱正在发生暴动。前往事发地，并使监狱的防护重新恢复稳固。

campaigncutscene_riotintro              爆炸新闻

adviser_riot_newsintro_01				爆炸新闻！
adviser_riot_newsintro_02				Alchem​​ico 州立监狱发生暴动——工作人员和安保人员都撤回到外围等待军事援助。
adviser_riot_newsintro_1				许多人仍然下落不明，其中包括公司首席执行官查尔斯•华莱士。
adviser_riot_newsintro_2				几位知名度较高的法官遭到逮捕后便发生了暴动……
adviser_riot_newsintro_3				……据称已采取经济激励措施以换取施加更严厉的监禁。
adviser_riot_newsintro_4				火上浇油的是，有消息说黑社会最近被一系列引人注目的谋杀震撼到了……
adviser_riot_newsintro_5				......包括上个月试图刺杀黑帮老大维克托•巴勒莫的事。
adviser_riot_newsintro_6				首席执行官查尔斯•华莱士的副手，在这个职位上还是新手，一直负责恢复秩序。
adviser_riot_newsintro_7				缺乏经验是否会导致在这场艰难的危机中付出高昂代价？这一点仍有待观察。
adviser_riot_newsintro_8                目前正在服无期徒刑的道格拉斯•本尼迪克特被认为是暴力事件爆发的罪魁祸首。

adviser_riot_newsintroheller_1 			市长卡尔文•海勒不久前发布了这一声明。
adviser_riot_newsintroheller_2 			对于那些质疑我们的惩罚性改革政策的人，这应该是一个很好的提醒。
adviser_riot_newsintroheller_3 			这些人都享有住房和食物供给。还拥有有偿工作。
adviser_riot_newsintroheller_4 			这就是他们回报给他们提供舒适生活的纳税人的方式。

campaigncutscene_riothostages			人质
adviser_name_riotceo					首席执行官 
adviser_name_riotbenedict 				本尼迪克特

adviser_riot_hostages1					听好了。你们的首席执行官在我们手里。
adviser_riot_hostages1b 				呃……
adviser_riot_hostages2 					规矩你都懂。我要什么。你给什么。
adviser_riot_hostages3					如果你耍任何花招，派任何人进来，或者如果我闻到了警察的味道，我会把子弹打进他的头骨。
adviser_riot_hostages4 					我们想要一辆没有标记的车，全黑车窗，加满油，一小时内送到。我会跟你联系。
adviser_riot_hostages5 					现在，我们在哪儿。
adviser_riot_hostages5b					你当时在那间办公室里做什么？
adviser_riot_hostages6					我发誓，我什么都不知道。
adviser_riot_hostages7					看到我自己的倒影，便足以知道一个人做错事了。
adviser_riot_hostages8					你在隐藏什么？
adviser_riot_hostages9					我应该待在这种地方。但这孩子……对任何人有什么好处吗，会给男孩更多时间吗？
adviser_riot_hostages10					你知道一些事情，告诉我这些事情是让你从这里活着出去的唯一途径。

adviser_riot_hostageheller1 			完全无法接受。我们需要查看餐厅的情况，好让我们看到发生了什么事情。
adviser_riot_hostageheller2 			餐厅北部有一个小的警卫室。我们需要保证其安全。
adviser_riot_hostageheller3 			向那里部署警卫以操作闭路电视监控系统控制台，这样我们就可以看到整个牢房区块的情景。

objective_Riot_MaxSecCameras			夺回警卫室

campaigncutscene_riotroulette			轮盘赌

adviser_riot_rouletteintro1             我们已经向警卫室派驻一名警卫，现在可以从闭路电视监控系统看到实时画面。
adviser_riot_rouletteintro2             让我们来看看人质的情况。
adviser_riot_click 						<点击>
adviser_riot_roulette1					老大，这是你离开这里的最后机会。玩过两颗子弹的轮盘赌吗？
adviser_riot_roulette2 					两颗子弹。四个空弹膛。
adviser_riot_roulette2b 				曾经跟长耳大野兔玩过这个。我们打掉了它们的头。
adviser_riot_roulette3 					你也会和它们一样。
adviser_riot_roulette4 					让我们从简单的问题开始。你当时在办公室做什么。
adviser_riot_roulette5 					我发誓，我什么都不知道。
adviser_riot_roulette5b 				我是说真的。
adviser_riot_roulette6 					好吧。谁先来？ 你？ 我？  这个家伙是谁？
adviser_riot_roulette7					你到底知道什么。你就跟长耳大野兔一样。
adviser_riot_roulette8 					那些文件里有什么？
adviser_riot_roulette9 					我发誓！我不知道……
adviser_riot_roulette10 				你的运气所剩无几。还有一颗子弹。我知道我看到了什么。
adviser_riot_roulette11b 				简直不敢相信自己的眼睛。
adviser_riot_roulette11c 				公司的大人物自己也被关进这所监狱了。看起来有罪。
adviser_riot_roulette11d 				除了我的犯罪记录，我想那些文件中还有别的东西。
adviser_riot_roulette11					拜托。不要。
adviser_riot_roulette11e 				华莱士，几率变得越来越均等。
adviser_riot_roulette12 				我给你说，我会让你死得更容易。
adviser_riot_roulette12b	 			好吧，废话说够了。
adviser_riot_roulette13 				混账东西，下一个轮到你了。除非你立即给我说我想知道的东西。
adviser_riot_roulette14 				我不能。拜托。
adviser_riot_roulette15 				好吧。拜托。拜托。别开枪。是钱。都是钱。
adviser_riot_roulette16 				就这样？
adviser_riot_roulette17 				你们还算有些价值。你们任何人在这里的时间越长，我们的利润就越多。我们不按常理出牌。
adviser_riot_roulette17b				那份文件就是证据。
adviser_riot_roulette18 				那么，我们值多少钱？ 把我们关在这里你能得到什么？
adviser_riot_roulette19 				每年 73,000 美元。
adviser_riot_roulette20					每人？ 王八蛋。现在是时候让你还债了。

campaigncutscene_riotassault 			侵入

adviser_riot_assault01					就是这样。是时候结束这种态势了。
adviser_riot_assault02 					小队已全部就位。
adviser_riot_assault03					立刻把车弄过来。华莱士跟我们一起走。如果我们发现盯梢者，高速公路上会洒满他的碎片。
adviser_riot_assault2 					好吧，大个子。你跟我们一起走。他们不会愚蠢到冒险让你持枪保驾护航。
adviser_riot_assault3 					我们没人能离开这。他们要的不是你。
adviser_riot_assault4 					你在说什么？
adviser_riot_assault5					我这样做是为了钱。但他这样做是为了政治利益。刑期越长，他就会获得更多的选票。
adviser_riot_assault6					你说的是谁？
adviser_riot_assault7					市长海勒。这是他的计划。我给车轮抹了点油。
adviser_riot_assault7b 					那些文件是可能毁掉他职业生涯的证据。
adviser_riot_assault8					别喷粪了。
adviser_riot_assault9 					搞什么鬼……
adviser_riot_assault9b					他们进来了，准备好！
adviser_riot_assault10					我警告过你！

# Riot Objectives and help text

adviser_name_negotiator 				谈判者

adviser_riot_negotiator1 				这里失控了。没有人看管这里。
adviser_riot_negotiator2 				我们已有多人伤亡，剩下的警卫不会进入暴动的牢房区块。我们不得不撤到外围。
adviser_riot_negotiator3 				设法在失控之前制止暴动。
adviser_riot_negotiator4 				防暴警察几分钟后就到。

adviser_riot_firstreinforcements1 		应急小组第一批人员已经抵达。
adviser_riot_firstreinforcements2 	 	这些人是防暴警卫，他们的装备更齐全。使用这些防暴警卫夺回被占领的监狱侧翼。
adviser_riot_firstreinforcements3 		附近州立医院的一些医护人员也赶来了。
adviser_riot_firstreinforcements4 		在重新夺回监狱的过程中，我建议你​​用这些医护人员给你的防暴警卫们提供紧急医疗救助。

objective_Riot_StopTheRiot 				制止暴动
objective_Riot_StopTheRiot_description  没人负责，你要指出该做什么。

adviser_riot_helleradvice1				我想跟我谈话的是首席执行官的副手。
adviser_riot_helleradvice2 				我明白这是一个非常困难的时期，我们都受到严格审查。放心吧，我全力支持你任意调配使用任何及所有资源。
adviser_riot_deployguards1				我们获得了据点，并夺回了监狱的部分区域。目前为止伤亡情况完全合理。
adviser_riot_deployguards2				但在你向前推进并夺回监狱的其余区域之前，你应该重新巩固夺回的侧翼。
adviser_riot_deployguards3				雇佣一些警卫，在部署屏幕将其分配给收复的区块。他们将确保收复的侧翼防守稳固。
adviser_riot_deployguards4 				处理完这些之后，向剩余区域推进，镇压这些野兽。这些畜生无法接受改造。它们也不会谈判。
adviser_riot_deployguards5 				我正在授权武装应急小组快速制止暴动。

adviser_riot_infirmary1 				监狱里到处都是伤员，毫无疑问还会有更多人受伤。你不能看着他们流血至死。
adviser_riot_infirmary2 				在现场建立一个医务室，并聘请医师救治伤员。
adviser_riot_infirmary3 				我们也看到了不少尸体。为了他们的尊严，我们需要建立停尸房并开始收集尸体。
adviser_riot_infirmary4					你需要雇佣工人施工。要保证他们的安全。

objective_Riot_ResecureWings 			聘请警卫并将他们部署到收复的区域
objective_riot_medicalneeds				（可选）解决监狱的医疗需求
objective_Riot_Infirmary				（可选）建立医务室并救治伤员
objective_Riot_Morgue 					（可选）建立停尸房并收集死者
objective_Riot_SecureGenPop				夺回混合囚犯侧翼（中央）
objective_Riot_SecureSpecialWing		夺回特别侧翼（西）
objective_Riot_SecureMaxSec				夺回最高设防侧翼（南）
objective_riot_putoutfires				控制住火势

adviser_riot_secondreinforcements1		更多防暴警卫已经抵达。

adviser_riot_armedreinforcements1		市长已经从附近的警局调来一些武警。
adviser_riot_armedreinforcements2		要小心这些家伙。如果你不加限制，可能会以一场由你负责的大屠杀而告终。
adviser_riot_armedreinforcements3		另一方面，囚犯们在看到这些家伙进来时也可以选择投降。

adviser_riot_reinforcementsunlocked1 	主要增援力量已经抵达。
adviser_riot_reinforcementsunlocked2 	现在你可以根据需要从紧急工具栏尽可能多地召集防暴警察和医护人员。

adviser_riot_cleanup1                   监狱已得到控制，骚乱者已被制服。局面会很容易地变得更糟。
adviser_riot_cleanup2                   我们得进行一次大清洗。如果你有时间，我会很感激你的帮助。
adviser_riot_cleanup2b 					现场没有建筑承包方，所以第一步要雇佣一些新的工人修复这里。
adviser_riot_cleanup3                   我一直以为这里的安防过于宽松。很长一段时间以来，这些囚​​犯们被赋予了太多的自治权。今天该结束这种局面了。
adviser_riot_cleanup4                   我希望你建造一座新的枪械库，然后在监狱周围重点部位部署武装警卫。武装警卫会震慑这些囚犯，他们在再次制造这么多麻烦之前会再三考虑。
adviser_riot_cleanup5                   我在批准资金，为现场所有警卫提供防弹衣。我们的人需要能够保护自己。
adviser_riot_cleanup6                   这些囚犯需要训诫。维持他们的生活秩序。我建议让囚犯们来整理被他们搞出来的烂摊子。
adviser_riot_cleanup7                   让我们启动囚犯劳教方案，让他们清洁监狱、清洗衣物。
adviser_riot_cleanup7b                  你可以在工具栏的后勤选项下给囚犯分配工作。突出显示目标以获取详细操作说明。
adviser_riot_cleanup8                   我们有一些其他的要求。有很多囚犯需要聆听教诲才能认识自己的错误。建立一个新的单独监禁侧翼。
